     0      4      3
     4      8      0
     8     12      1
    12     16      0
    16     20      0
    20     24      9
    24     28      0
    28     32      5
    32     36      1
    36     40      2
    40     44     19
    44     48     29
    48     52     45
    52     56     41
    56     60     38
    60     64     30
    64     68     19
    68     72     16
    72     76      9
    76     80      9
    80     84     10
    84     88      2
    88     92      8
    92     96      2
    96    100      0
